NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,430.1522340297364
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,441.25141243119674
b38a03232f43b11c9d0788abaf060f7366053b6d,597.195951165814
70b682d9a3636be23f6120fa9d6b164eb3c6002d,117.3895986790987
715494628a50142ce8cb17191cfe6d0f3cae0934,554.9658756628621
e656d6bad65c93fb2880f1eba5037008c8e75774,480.1548349247625
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,519.1167495572862
11539e86171bf07d3a36f09377d7f54ebcc8406a,428.1691133713032
043c544a2104aa8a9849f1a703a08d37a2f16839,467.82767280513474
76ba050e64ad100b856f0eaabd8f539d5c7dd185,444.8929937267754
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,118.5779986790987
db4da599aab5bb08dce27094a35fd3e36cd0abce,117.3895986790987
940aede382ccb332fab15d413217695ec44ca765,467.33050592340425
9ad714b116da76d878dd399d187fccc2dd13dd63,594.9514859481105
dd34464a4d780b12a089347ad580418ac57a3055,528.2946058129269
f837a4cb05a5fd59d20138182f5e8c721eadd584,467.6495251487433
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,118.1229486790987
ca8477c8493b09f34d17bb287f9bacf2dd744c32,117.3895986790987
8b0c675d7fde14953668269d378c588f0df0498b,119.35028424908425
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,410.6103063800681
3d203727f27abd83b71732d88d8cb1cc099f363b,445.1690950958944
d30d31c8ff45094e9a992c63d4a6f68b245a341a,481.43574575559035
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,118.1229486790987
cbc301183dec912f3513ca766bf03dd565f3a38f,458.8965815093158
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,645.7878569810103
11282da1ee78c8db45a041db4c744e33df489df0,437.21128175262567
03c67f683a415c2ea09b582248bd4cb08528c19d,589.2627129194118
046e844fb06a07ba30b41521f0065a8d9c6e5024,413.3688636288888
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,429.6371544675301
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,128.64412531262894
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,117.3895986790987
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,436.3415239643142
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,552.0773891828179
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,466.9130822204229
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,525.8794751030625
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,479.9736474871741
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,456.5861248712157
59bfa081e020013410d9f60f91813964ba749bb2,430.9531798676999
f5e069ee3bc95998464e8ff5da048b7f999921ed,432.73964711512946
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,572.4165100473089
664f44258212a1f7e4086f2b4845d586c543fa3f,471.46644001195784
265cd7befa74a9f2a198fc57baec9858075f8419,460.8414761038685
6f9ac44919bbd204e0ef15185388fd2d4bc61253,491.04053657231435
78de1ee60b55766cc3eba4089e36c57139b66ebd,450.6380797732638
24550edb10f283ef4e953fd6a8fedbfa211bd456,119.35028424908425
1e61a474acdc043eb39a89c17fab34bd2ea1a940,426.3086838442136
940af68ded6af2875708611051aa7ff3f134d80b,482.2131627095641
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,490.3737380626044
c76ddf6e9f80984e901b12f9462a3cf029bea290,500.9994093013257
